date,open,close,high,low,volume,code
2016-07-29,120.23,118.55,121.7,118.01,7229.0,110030
2016-08-01,118.55,117.16,118.55,117.01,4176.0,110030
2016-08-02,117.15,117.78,117.98,116.97,417.0,110030
2016-08-03,117.16,118.6,118.77,117.16,1129.0,110030
2016-08-04,118.11,119.49,120.0,118.11,2215.0,110030
2016-08-05,119.5,120.43,121.2,119.49,6387.0,110030
2016-08-08,120.11,120.95,121.32,119.67,8624.0,110030
2016-08-09,121.32,121.38,121.47,120.7,2708.0,110030
2016-08-10,120.91,120.33,121.85,120.3,1681.0,110030
2016-08-11,120.89,120.36,120.89,120.36,2578.0,110030
2016-08-12,120.33,122.27,122.5,120.33,29024.0,110030
2016-08-15,122.6,126.49,126.98,122.6,29751.0,110030
2016-08-16,126.59,126.26,127.87,126.2,31634.0,110030
2016-08-17,126.3,125.51,126.3,125.5,4228.0,110030
2016-08-18,125.97,127.9,128.85,125.97,19088.0,110030
2016-08-19,128.44,127.24,128.6,126.01,1355.0,110030
2016-08-22,126.87,126.9,127.29,126.71,4849.0,110030
2016-08-23,126.12,126.01,127.49,126.0,1096.0,110030
2016-08-24,126.02,125.62,126.5,125.61,571.0,110030
2016-08-25,126.04,123.67,126.04,123.65,3753.0,110030
2016-08-26,124.4,123.03,125.0,122.88,2885.0,110030
2016-08-29,123.1,122.67,124.43,122.6,2903.0,110030
2016-08-30,122.7,122.39,123.39,122.0,777.0,110030
2016-08-31,122.5,123.29,123.58,122.07,11956.0,110030
2016-09-01,122.83,123.26,123.68,122.5,2511.0,110030
2016-09-02,124.42,123.1,125.84,122.88,7168.0,110030
2016-09-05,123.1,123.12,123.68,123.1,3507.0,110030
2016-09-06,123.05,123.39,123.64,122.51,4584.0,110030
2016-09-07,123.25,124.02,124.3,123.24,3943.0,110030
2016-09-08,124.4,124.4,124.79,124.13,1479.0,110030
2016-09-09,124.1,124.15,124.37,124.1,398.0,110030
2016-09-12,124.01,122.52,124.01,122.4,12167.0,110030
2016-09-13,122.13,122.58,123.0,122.13,156.0,110030
2016-09-14,122.92,122.73,122.95,122.4,2391.0,110030
2016-09-19,122.68,123.1,123.15,122.68,13231.0,110030
2016-09-20,122.72,122.77,123.15,122.72,98.0,110030
2016-09-21,122.88,123.15,123.5,122.88,1188.0,110030
2016-09-22,123.15,124.2,124.6,123.15,28490.0,110030
2016-09-23,123.8,124.23,124.29,123.21,4017.0,110030
2016-09-26,123.51,123.8,124.27,123.22,754.0,110030
2016-09-27,123.63,123.64,124.58,123.6,7738.0,110030
2016-09-28,123.5,123.82,124.37,123.49,1255.0,110030
2016-09-29,123.56,123.99,124.18,123.56,210.0,110030
2016-09-30,123.55,123.96,124.49,123.55,907.0,110030
2016-10-10,123.6,121.9,123.6,121.4,17730.0,110030
2016-10-11,121.89,122.5,122.8,121.58,1883.0,110030
2016-10-12,122.28,122.18,122.47,121.88,1735.0,110030
2016-10-13,122.46,121.85,122.46,121.82,1544.0,110030
2016-10-14,121.65,121.46,121.99,121.23,14902.0,110030
2016-10-17,121.46,121.3,121.6,121.22,7070.0,110030
2016-10-18,121.26,121.77,121.78,121.26,551.0,110030
2016-10-19,121.92,122.31,122.41,121.82,10226.0,110030
2016-10-20,122.57,122.38,122.58,122.19,5373.0,110030
2016-10-21,122.38,122.65,122.9,122.3,3426.0,110030
2016-10-24,122.65,122.86,123.87,122.6,3087.0,110030
2016-10-25,122.86,123.15,123.15,122.85,2290.0,110030
2016-10-26,123.64,123.05,123.64,122.8,1221.0,110030
2016-10-27,122.85,121.52,123.04,121.5,2160.0,110030
2016-10-28,122.54,122.54,123.27,122.51,5254.0,110030
2016-10-31,122.01,121.82,122.49,121.7,84.0,110030
2016-11-01,122.18,122.2,122.26,121.74,230.0,110030
2016-11-02,122.14,122.19,122.36,122.02,384.0,110030
2016-11-03,122.0,122.17,122.4,122.0,337.0,110030
2016-11-04,122.05,122.0,122.26,121.9,2599.0,110030
2016-11-07,122.0,121.85,122.03,121.85,13981.0,110030
2016-11-08,121.9,121.84,122.0,121.53,9570.0,110030
2016-11-09,121.93,121.94,122.12,121.81,2857.0,110030
2016-11-10,122.11,122.0,122.27,121.8,9639.0,110030
2016-11-11,122.0,122.2,122.3,121.87,11729.0,110030
2016-11-14,122.8,122.45,122.8,122.22,4450.0,110030
2016-11-15,122.29,122.58,124.88,122.25,4163.0,110030
2016-11-16,122.56,122.63,122.63,122.55,3142.0,110030
2016-11-17,122.51,122.74,122.98,122.51,273.0,110030
2016-11-18,122.43,122.61,122.88,122.43,1357.0,110030
2016-11-21,122.95,122.55,122.95,122.5,3256.0,110030
2016-11-23,122.98,123.5,124.5,122.12,9920.0,110030
2016-11-24,124.2,123.79,124.2,123.2,4876.0,110030
2016-11-25,124.0,124.38,124.38,123.3,922.0,110030
2016-11-28,124.36,123.61,124.36,123.6,3284.0,110030
2016-11-29,123.56,122.5,123.56,122.5,1441.0,110030
2016-11-30,123.04,121.5,123.04,121.14,3630.0,110030
2016-12-01,121.5,121.49,122.75,121.36,2350.0,110030
2016-12-02,121.39,120.63,121.8,120.6,3676.0,110030
2016-12-05,120.6,118.6,120.6,118.5,5721.0,110030
2016-12-06,119.5,117.8,119.5,117.72,18099.0,110030
